IVSRV9 | NumVSR,LOCSMQ | Marque,LVSRMO | Modele,CVSRGV | Generation,Carrosserie,LVSRVE | Version1,LVSRE1 | Version2,LVSRE2 | Version3,QVSRC8 | CylindreeArrondie,QVSRDI | PuisDin,Energie,,QVSRF9 | Pfiscale,BoiteVit,,segment,qvsrn9_nbplaces,qvsrdi_puisdin,mindedvsrdx_datedebcom,maxdedvsrfx_datefincom,boitevit_Manuelle,boitevit_Automatique,boitevit_Semi_Automatique,energie_Diesel,energie_Essence,energie_GPL_Essence,energie_Hyb_Ess_Elect,energie_Bio_Carburant_E85,energie_Electrique,energie_GNV_Essence,energie_Hyb_Die_Elect,Nb_DEVIS-1erSEM15,URL PHOTO PAR DEFAUT DU MODELE
96786,AUDI,A3,II,Berline,TFSI 160 SPORTBACK,AMBITION S-TRONIC,,1,8,161,Essence,,10,Semi Automatique,,,,,,,,,,,,,,,,,,
96780,AUDI,A3,II,Berline,TFSI 160 SPORTBACK,EXCLUSIVE LINE,,1,8,161,Essence,,10,Manuelle,,,,,,,,,,,,,,,,,,
96859,AUDI,A3,II,Berline,TDI 105 ATTRACTION,S-TRONIC 6CV,,1,9,105,Diesel,,6,Semi Automatique,,,,,,,,,,,,,,,,,,
96840,AUDI,A3,II,Berline,TDI 105 SPORTBACK,S-LINE S-TRONIC,,1,9,105,Diesel,,6,Semi Automatique,,,,,,,,,,,,,,,,,,
96857,AUDI,A3,II,Berline,TDI 105 AMBITION,LUXE S-TRONIC 6CV,,1,9,105,Diesel,,6,Semi Automatique,,,,,,,,,,,,,,,,,,
96791,AUDI,A3,II,Berline,TFSI 160 SPORTBACK,S-LINE S-TRONIC,,1,8,161,Essence,,10,Semi Automatique,,,,,,,,,,,,,,,,,,
96855,AUDI,A3,II,Berline,V6 250 QUATTRO,EXCLUSIVE LINE,S-TRONIC,3,2,250,Essence,,17,Semi Automatique,,,,,,,,,,,,,,,,,,
96854,AUDI,A3,II,Berline,TDI 140 AMBITION,LUXE S-TRONIC,,2,140,Diesel,,8,Semi Automatique,,,,,,,,,,,,,,,,,,,
96853,AUDI,A3,II,Berline,TDI 105 S-LINE,S-TRONIC 6CV,,1,9,105,Diesel,,6,Semi Automatique,,,,,,,,,,,,,,,,,,
96852,AUDI,A3,II,Berline,TFSI 200 EXCLUSIVE,LINE S-TRONIC,,2,200,Essence,,12,Semi Automatique,,,,,,,,,,,,,,,,,,,
96851,AUDI,A3,II,Berline,TDI 140 AMBIENTE,S-TRONIC,,2,140,Diesel,,8,Semi Automatique,,,,,,,,,,,,,,,,,,,
96850,AUDI,A3,II,Berline,V6 250 QUATTRO,AMBITION S-TRONIC,17CV,3,2,250,Essence,,17,Semi Automatique,,,,,,,,,,,,,,,,,,
96849,AUDI,A3,II,Berline,TFSI 200 AMBITION,LUXE S-TRONIC,,2,200,Essence,,12,Semi Automatique,,,,,,,,,,,,,,,,,,,
96848,AUDI,A3,II,Berline,TFSI 200 AMBITION,S-TRONIC 12CV,,2,200,Essence,,12,Semi Automatique,,,,,,,,,,,,,,,,,,,
96847,AUDI,A3,II,Berline,TDI 140 AMBITION,S-TRONIC,,2,140,Diesel,,8,Semi Automatique,,,,,,,,,,,,,,,,,,,
96858,AUDI,A3,II,Berline,TDI 105 AMBIENTE,S-TRONIC,,1,9,105,Diesel,,6,Semi Automatique,,,,,,,,,,,,,,,,,,
96831,AUDI,A3,II,Berline,TDI 140 SPORTBACK,AMBITION S-TRONIC,,2,140,Diesel,,8,Semi Automatique,,,,,,,,,,,,,,,,,,,
98836,AUDI,A3,II,Berline,TDI 105 DPF,SPORTBACK E,,1,9,105,Diesel,,6,Manuelle,,,,,,,,,,,,,,,,,,
98835,AUDI,A3,II,Berline,TDI 105 DPF,,,1,9,105,Diesel,,5,Manuelle,,,,,,,,,,,,,,,,,,
96839,AUDI,A3,II,Berline,TFSI 200 SPORTBACK,AMBITION LUXE,S-TRONIC,2,200,Essence,,12,Semi Automatique,,,,,,,,,,,,,,,,,,,
96838,AUDI,A3,II,Berline,TFSI 200 SPORTBACK,S-LINE S-TRONIC,,2,200,Essence,,12,Semi Automatique,,,,,,,,,,,,,,,,,,,
96837,AUDI,A3,II,Berline,TDI 140 SPORTBACK,S-LINE S-TRONIC,,2,140,Diesel,,8,Semi Automatique,,,,,,,,,,,,,,,,,,,
